record_id,redcap_event_name,information_timestamp,consent,subject_id_quest,information_complete,nfc_timestamp,nfc_01,nfc_02,nfc_03,nfc_04,nfc_05,nfc_06,nfc_07,nfc_08,nfc_09,nfc_10,nfc_11,nfc_12,nfc_13,nfc_14,nfc_15,nfc_16,nfc_complete,bis_11_timestamp,bis11_01,bis11_02,bis11_03,bis11_04,bis11_05,bis11_06,bis11_07,bis11_08,bis11_09,bis11_10,bis11_11,bis11_12,bis11_13,bis11_14,bis11_15,bis11_16,bis11_17,bis11_18,bis11_19,bis11_20,bis11_21,bis11_22,bis11_23,bis11_24,bis11_25,bis11_26,bis11_27,bis11_28,bis11_29,bis11_30,bis_11_complete,bscs_timestamp,bscs_1,bscs_2,bscs_3,bscs_4,bscs_5,bscs_6,bscs_7,bscs_8,bscs_9,bscs_10,bscs_11,bscs_12,bscs_13,bscs_complete,srs_timestamp,srs_01,srs_02,srs_03,srs_04,srs_05,srs_06,srs_07,srs_08,srs_09,srs_10,srs_complete,erq_timestamp,erq_01,erq_02,erq_03,erq_04,erq_05,erq_06,erq_07,erq_08,erq_09,erq_10,erq_complete,who5_timestamp,who5_1,who5_2,who5_3,who5_4,who5_5,who5_complete,cdrisc_timestamp,risc_01,risc_04,risc_06,risc_07,risc_08,risc_11,risc_14,risc_16,risc_17,risc_19,cdrisc_complete,acs_timestamp,acs_01,acs_02,acs_03,acs_04,acs_05,acs_06,acs_07,acs_08,acs_09,acs_10,acs_11,acs_12,acs_13,acs_14,acs_15,acs_16,acs_17,acs_18,acs_19,acs_20,acs_complete,flexer_timestamp,flexer_01,flexer_02,flexer_03,flexer_04,flexer_05,flexer_06,flexer_07,flexer_08,flexer_09,flexer_10,flexer_complete,lay_beliefs_timestamp,layb_01,layb_02,layb_03,layb_04,lay_beliefs_complete,appointment_timestamp,appointment_complete,subject_id_lab,vl,date,preparatory_coged_complete,general_questions_timestamp,age,gender,edu,state,general_questions_complete,inclusion,inclusion_0___1,inclusion_0___2,inclusion_0_2,researcher_questions_complete,nasatlx_aversion_timestamp,nasa_tlx_1,nasa_tlx_2,nasa_tlx_3,nasa_tlx_4,nasa_tlx_5,nasa_tlx_6,avers,nasatlx_aversion_complete,nasatlx_aversion2_timestamp,nasa_tlx_1b,nasa_tlx_2b,nasa_tlx_3b,nasa_tlx_4b,nasa_tlx_5b,nasa_tlx_6b,aversb,nasatlx_aversion2_complete,nasatlx_aversion3_timestamp,nasa_tlx_1c,nasa_tlx_2c,nasa_tlx_3c,nasa_tlx_4c,nasa_tlx_5c,nasa_tlx_6c,aversc,nasatlx_aversion3_complete,nasatlx_aversion4_timestamp,nasa_tlx_1d,nasa_tlx_2d,nasa_tlx_3d,nasa_tlx_4d,nasa_tlx_5d,nasa_tlx_6d,aversd,nasatlx_aversion4_complete,followup_coged_timestamp,followup_adherence,followup_motivation,followup_motivation_other,followup_coged_complete,t1_psychopy_ed_csv,t1_psychopy_nback_csv,t1_psychopy_randch_log,t1_session_notes,files_coged_complete,record_id_2,vl_er,date_er,preparatory_ered_complete,emg_eeg,emg_vhdr,emg_vmrk,er_psychopy_csv,ed_psychopy_csv,t2_session_notes,files_ered_complete,followup_ered_timestamp,nachb_01,nachb_01_inhalt,nachb_02,nachb_02_inhalt,nachb_03,nachb_07,nachb_07_inhalt,nachb_08,nachb_08_inhalt,nachb_08_haeufig,nachb_08_zurueck,followup_ered_complete
28,l1_coged_arm_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C15T02,JZ,06.10.2022,2,06.10.2022 14:39,26,1,3,0,2,1,0,0,,2,06.10.2022 14:51,8,2,2,19,13,13,13,2,06.10.2022 15:00,15,2,5,18,14,7,7,2,06.10.2022 15:10,18,2,12,13,17,6,6,2,06.10.2022 15:19,18,2,14,15,18,12,11,2,06.10.2022 15:29,1,3,,2,C15T02_t1_ED.csv,C15T02_t1_nback.csv,C15T02_t1_randomchoice.csv,,2,,,,,,,,,,,,,,,,,,,,,,,,
28,l2_ered_arm_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C15T02,CS,13.10.2022,2,C15T02.eeg,C15T02.vhdr,C15T02.vmrk,C15T02_t2_ER.csv,C15T02_t2_ED.csv,,2,13.10.2022 15:36,0,,1,,Schien am besten zu funktionieren.,0,,0,,,,2
28_final,t1_questionnaires_arm_1,,1,C15T02,2,,2,2,0,-2,1,-1,0,-1,0,-1,0,-1,1,1,0,2,2,,2,3,3,2,2,1,2,3,3,3,3,2,1,3,3,4,3,2,2,3,1,2,3,1,1,2,1,2,3,4,2,,4,3,2,4,4,3,3,2,3,3,3,3,2,2,,3,3,3,3,2,3,3,3,2,3,2,,4,6,4,3,3,6,4,4,6,4,2,,3,3,2,1,2,2,,7,7,6,6,5,6,6,6,7,5,2,,2,2,2,3,2,3,2,1,4,3,2,2,2,1,4,2,3,3,2,1,2,,3,3,3,4,4,4,2,2,2,3,2,,5,1,5,2,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28_final,l1_coged_arm_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C15T02,JZ,,2,,26,1,3,0,2,1,0,0,,2,,8,2,2,19,13,13,13,2,,15,2,5,18,14,7,7,2,,18,2,12,13,17,6,6,2,,18,2,14,15,18,12,11,2,,1,3,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
28_final,l2_ered_arm_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C15T02,CS,,2,,,,,,,2,,0,,1,,Seemed to work best.,0,,0,,,,2
29,t1_questionnaires_arm_1,15.09.2022 13:33,1,B19S05,2,15.09.2022 13:35,1,0,1,-2,2,1,-2,-1,0,-1,-2,-1,1,-2,-3,-2,2,15.09.2022 13:38,4,2,1,2,2,3,4,2,3,2,2,3,4,2,3,2,2,3,2,2,1,1,2,2,3,3,2,1,3,3,2,15.09.2022 13:39,3,5,4,3,4,3,5,2,4,3,4,5,3,2,15.09.2022 13:40,2,3,3,3,2,3,2,3,2,3,2,15.09.2022 13:42,5,5,6,3,6,4,5,4,5,3,2,15.09.2022 13:42,3,2,2,1,3,2,15.09.2022 13:44,2,5,5,5,5,6,6,4,5,4,2,15.09.2022 13:45,4,3,2,3,2,4,2,2,1,3,2,2,4,1,4,3,2,2,3,3,2,15.09.2022 13:48,3,2,2,2,1,2,3,3,3,2,2,15.09.2022 13:49,2,4,2,4,2,15.09.2022 13:53,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,l1_coged_arm_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B19S05,JZ,29.09.2022,2,29.09.2022 08:59,26,2,3,0,2,1,0,0,,2,29.09.2022 09:11,9,3,7,17,8,5,3,2,29.09.2022 09:20,9,5,6,17,10,5,5,2,29.09.2022 09:29,12,5,6,14,14,6,7,2,29.09.2022 09:38,17,5,5,10,18,8,11,2,29.09.2022 09:46,1,3,,2,B19S05_t1_ED.csv,B19S05_t1_nback.csv,B19S05_t1_randomchoice.csv,,2,,,,,,,,,,,,,,,,,,,,,,,,
29,l2_ered_arm_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B19S05,JZ,06.10.2022,2,B19S05.eeg,B19S05.vhdr,B19S05.vmrk,B19S05_t2_ER.csv,B19S05_t2_ED.csv,,2,06.10.2022 09:48,0,,1,,Weil es mir am leichtesten fiel,0,,0,,,,2
29_final,t1_questionnaires_arm_1,,1,B19S05,2,,1,0,1,-2,2,1,-2,-1,0,-1,-2,-1,1,-2,-3,-2,2,,4,2,1,2,2,3,4,2,3,2,2,3,4,2,3,2,2,3,2,2,1,1,2,2,3,3,2,1,3,3,2,,3,5,4,3,4,3,5,2,4,3,4,5,3,2,,2,3,3,3,2,3,2,3,2,3,2,,5,5,6,3,6,4,5,4,5,3,2,,3,2,2,1,3,2,,2,5,5,5,5,6,6,4,5,4,2,,4,3,2,3,2,4,2,2,1,3,2,2,4,1,4,3,2,2,3,3,2,,3,2,2,2,1,2,3,3,3,2,2,,2,4,2,4,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29_final,l1_coged_arm_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B19S05,JZ,,2,,26,2,3,0,2,1,0,0,,2,,9,3,7,17,8,5,3,2,,9,5,6,17,10,5,5,2,,12,5,6,14,14,6,7,2,,17,5,5,10,18,8,11,2,,1,3,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
29_final,l2_ered_arm_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B19S05,JZ,,2,,,,,,,2,,0,,1,,Because it was easiest for me.,0,,0,,,,2
30,t1_questionnaires_arm_1,17.09.2022 17:40,1,D18R04,2,17.09.2022 17:51,1,1,1,-1,2,-1,-2,1,1,1,0,1,-2,-2,-3,-3,2,17.09.2022 17:53,4,1,3,1,1,4,3,3,2,3,3,4,3,1,1,1,2,1,2,3,1,2,1,2,1,3,2,4,2,3,2,17.09.2022 17:55,3,2,5,1,4,3,3,5,4,3,5,4,3,2,17.09.2022 17:56,3,3,2,2,3,2,4,3,3,3,2,17.09.2022 17:57,5,5,4,3,3,5,4,2,5,3,2,17.09.2022 17:58,4,2,4,1,4,2,17.09.2022 17:59,4,2,5,6,4,5,3,2,3,2,2,17.09.2022 18:01,3,2,1,2,3,3,3,3,3,2,2,1,3,3,3,2,3,2,3,2,2,17.09.2022 18:03,2,2,1,2,2,2,3,1,1,1,2,17.09.2022 18:04,2,4,1,4,2,17.09.2022 18:06,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,l1_coged_arm_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D18R04,CS,07.10.2022,2,07.10.2022 14:32,20,2,3,0,2,1,0,0,,2,07.10.2022 14:46,5,5,7,15,5,3,7,2,07.10.2022 14:56,10,10,7,9,11,11,11,2,07.10.2022 15:05,13,13,15,2,14,17,16,2,07.10.2022 15:14,19,18,19,1,18,1,1,2,07.10.2022 15:24,1,3,,2,D18R04_t1_ED.csv,D18R04_t1_nback.csv,D18R04_t1_randomchoice.csv,,2,,,,,,,,,,,,,,,,,,,,,,,,
30,l2_ered_arm_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D18R04,CS,14.10.2022,2,D18R04.eeg,D18R04.vhdr,D18R04.vmrk,D18R04_t2_ER.csv,D18R04_t2_ED.csv,Impedanz trotz erneutem Peeling über 20k,2,14.10.2022 15:29,0,,1,,Diese Strategie war für mich am einfachsten und effektivsten.,0,,0,,,,2
30_final,t1_questionnaires_arm_1,,1,D18R04,2,,1,1,1,-1,2,-1,-2,1,1,1,0,1,-2,-2,-3,-3,2,,4,1,3,1,1,4,3,3,2,3,3,4,3,1,1,1,2,1,2,3,1,2,1,2,1,3,2,4,2,3,2,,3,2,5,1,4,3,3,5,4,3,5,4,3,2,,3,3,2,2,3,2,4,3,3,3,2,,5,5,4,3,3,5,4,2,5,3,2,,4,2,4,1,4,2,,4,2,5,6,4,5,3,2,3,2,2,,3,2,1,2,3,3,3,3,3,2,2,1,3,3,3,2,3,2,3,2,2,,2,2,1,2,2,2,3,1,1,1,2,,2,4,1,4,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30_final,l1_coged_arm_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D18R04,CS,,2,,20,2,3,0,2,1,0,0,,2,,5,5,7,15,5,3,7,2,,10,10,7,9,11,11,11,2,,13,13,15,2,14,17,16,2,,19,18,19,1,18,1,1,2,,1,3,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
30_final,l2_ered_arm_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D18R04,CS,,2,,,,,,Impedance above 20 kOhm despite re-application.,2,,0,,1,,This strategy was easiest and most effective for me.,0,,0,,,,2
31,t1_questionnaires_arm_1,22.09.2022 06:24,1,L06N11,2,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31_final,t1_questionnaires_arm_1,,1,L06N11,2,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,t1_questionnaires_arm_1,26.09.2022 10:45,1,S15I11,2,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32_final,t1_questionnaires_arm_1,,1,S15I11,2,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,t1_questionnaires_arm_1,04.10.2022 11:00,1,L05N08,2,04.10.2022 11:02,2,2,1,2,2,1,-2,-1,-2,1,1,-1,1,-1,-2,-1,2,04.10.2022 11:03,3,2,1,2,1,3,3,2,2,3,2,3,3,2,2,1,2,2,2,2,1,2,1,1,1,3,2,2,2,2,2,04.10.2022 11:04,3,5,4,1,4,3,5,3,3,4,3,5,2,2,04.10.2022 11:05,3,2,2,2,3,2,3,2,3,2,2,04.10.2022 11:06,5,6,4,4,2,5,4,3,5,5,2,04.10.2022 11:07,1,1,1,1,1,2,04.10.2022 11:08,4,3,3,4,2,2,3,1,2,2,2,04.10.2022 11:10,2,2,2,3,2,3,2,2,2,1,3,2,2,2,2,3,1,1,2,2,2,04.10.2022 11:11,3,3,3,3,3,3,3,3,3,3,2,04.10.2022 11:11,3,5,2,5,2,04.10.2022 11:18,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,l1_coged_arm_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L05N08,JZ,06.10.2022,2,06.10.2022 11:57,20,2,3,0,2,1,0,0,,2,06.10.2022 12:09,12,4,6,5,12,10,10,2,06.10.2022 12:18,10,5,4,6,8,7,9,2,06.10.2022 12:27,16,4,12,4,16,9,9,2,06.10.2022 12:36,11,2,5,9,12,4,3,2,06.10.2022 12:46,1,3,,2,L05N08_t1_ED.csv,L05N08_t1_nback.csv,L05N08_t1_randomchoice.csv,,2,,,,,,,,,,,,,,,,,,,,,,,,
33,l2_ered_arm_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L05N08,CS,13.10.2022,2,L05N08.eeg,L05N08.vhdr,L05N08.vmrk,L05N08_t2_ER.csv,L05N08_t2_ED.csv,,2,13.10.2022 13:06,0,,1,,Die Strategie war für mich am wenigsten anstrengend,0,,1,Online-Experiment zu Emotionsregulation,1,24,2
33_final,t1_questionnaires_arm_1,,1,L05N08,2,,2,2,1,2,2,1,-2,-1,-2,1,1,-1,1,-1,-2,-1,2,,3,2,1,2,1,3,3,2,2,3,2,3,3,2,2,1,2,2,2,2,1,2,1,1,1,3,2,2,2,2,2,,3,5,4,1,4,3,5,3,3,4,3,5,2,2,,3,2,2,2,3,2,3,2,3,2,2,,5,6,4,4,2,5,4,3,5,5,2,,1,1,1,1,1,2,,4,3,3,4,2,2,3,1,2,2,2,,2,2,2,3,2,3,2,2,2,1,3,2,2,2,2,3,1,1,2,2,2,,3,3,3,3,3,3,3,3,3,3,2,,3,5,2,5,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33_final,l1_coged_arm_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L05N08,JZ,,2,,20,2,3,0,2,1,0,0,,2,,12,4,6,5,12,10,10,2,,10,5,4,6,8,7,9,2,,16,4,12,4,16,9,9,2,,11,2,5,9,12,4,3,2,,1,3,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
33_final,l2_ered_arm_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L05N08,CS,,2,,,,,,,2,,0,,1,,The strategy was least effortful.,0,,1,Online experiment on emotion regulation.,1,24,2
34,t1_questionnaires_arm_1,06.10.2022 11:28,1,B27T02,2,06.10.2022 11:30,1,0,-1,-1,2,0,0,-1,-2,0,-1,-1,-1,0,-1,0,2,06.10.2022 11:31,3,2,2,1,1,1,3,3,3,3,1,3,3,2,2,1,1,2,1,2,1,1,1,1,1,2,1,1,3,3,2,06.10.2022 11:33,3,2,4,2,2,2,2,3,3,2,3,2,2,2,06.10.2022 11:34,3,2,3,3,3,3,2,2,2,3,2,06.10.2022 11:36,5,5,5,3,5,5,5,5,5,5,2,06.10.2022 11:37,3,3,3,2,3,2,06.10.2022 11:37,5,4,4,5,6,5,5,5,5,5,2,06.10.2022 11:39,4,2,2,1,2,4,2,3,1,3,1,2,3,2,2,2,2,2,3,3,2,06.10.2022 11:40,2,3,3,3,3,3,2,4,3,3,2,06.10.2022 11:41,5,4,4,5,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,l1_coged_arm_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B27T02,JZ,12.10.2022,2,12.10.2022 09:11,24,2,3,0,2,1,0,0,,2,12.10.2022 09:24,12,1,5,15,10,5,5,2,12.10.2022 09:34,16,1,11,12,14,4,5,2,12.10.2022 09:44,19,1,13,11,18,7,5,2,12.10.2022 09:53,20,3,12,12,20,7,5,2,12.10.2022 10:02,1,1,,2,B27T02_t1_ED.csv,B27T02_t1_nback.csv,B27T02_t1_randomchoice.csv,,2,,,,,,,,,,,,,,,,,,,,,,,,
34,l2_ered_arm_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B27T02,CS,21.10.2022,2,B27T02.eeg,B27T02.vhdr,B27T02.vmrk,B27T02_t2_ER.csv,B27T02_t2_ED.csv,,2,21.10.2022 11:44,0,,1,,Die Strategie schien am effektivsten,0,,0,,,,2
34_final,t1_questionnaires_arm_1,,1,B27T02,2,,1,0,-1,-1,2,0,0,-1,-2,0,-1,-1,-1,0,-1,0,2,,3,2,2,1,1,1,3,3,3,3,1,3,3,2,2,1,1,2,1,2,1,1,1,1,1,2,1,1,3,3,2,,3,2,4,2,2,2,2,3,3,2,3,2,2,2,,3,2,3,3,3,3,2,2,2,3,2,,5,5,5,3,5,5,5,5,5,5,2,,3,3,3,2,3,2,,5,4,4,5,6,5,5,5,5,5,2,,4,2,2,1,2,4,2,3,1,3,1,2,3,2,2,2,2,2,3,3,2,,2,3,3,3,3,3,2,4,3,3,2,,5,4,4,5,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34_final,l1_coged_arm_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B27T02,JZ,,2,,24,2,3,0,2,1,0,0,,2,,12,1,5,15,10,5,5,2,,16,1,11,12,14,4,5,2,,19,1,13,11,18,7,5,2,,20,3,12,12,20,7,5,2,,1,1,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
34_final,l2_ered_arm_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B27T02,CS,,2,,,,,,,2,,0,,1,,The strategy seemed most effective.,0,,0,,,,2
