record_id,redcap_event_name,consent,subject_id_quest,information_complete,nfc_01,nfc_02,nfc_03,nfc_04,nfc_05,nfc_06,nfc_07,nfc_08,nfc_09,nfc_10,nfc_11,nfc_12,nfc_13,nfc_14,nfc_15,nfc_16,nfc_complete,bis11_01,bis11_02,bis11_03,bis11_04,bis11_05,bis11_06,bis11_07,bis11_08,bis11_09,bis11_10,bis11_11,bis11_12,bis11_13,bis11_14,bis11_15,bis11_16,bis11_17,bis11_18,bis11_19,bis11_20,bis11_21,bis11_22,bis11_23,bis11_24,bis11_25,bis11_26,bis11_27,bis11_28,bis11_29,bis11_30,bis_11_complete,bscs_1,bscs_2,bscs_3,bscs_4,bscs_5,bscs_6,bscs_7,bscs_8,bscs_9,bscs_10,bscs_11,bscs_12,bscs_13,bscs_complete,srs_01,srs_02,srs_03,srs_04,srs_05,srs_06,srs_07,srs_08,srs_09,srs_10,srs_complete,erq_01,erq_02,erq_03,erq_04,erq_05,erq_06,erq_07,erq_08,erq_09,erq_10,erq_complete,who5_1,who5_2,who5_3,who5_4,who5_5,who5_complete,risc_01,risc_04,risc_06,risc_07,risc_08,risc_11,risc_14,risc_16,risc_17,risc_19,cdrisc_complete,acs_01,acs_02,acs_03,acs_04,acs_05,acs_06,acs_07,acs_08,acs_09,acs_10,acs_11,acs_12,acs_13,acs_14,acs_15,acs_16,acs_17,acs_18,acs_19,acs_20,acs_complete,flexer_01,flexer_02,flexer_03,flexer_04,flexer_05,flexer_06,flexer_07,flexer_08,flexer_09,flexer_10,flexer_complete,layb_01,layb_02,layb_03,layb_04,lay_beliefs_complete,appointment_complete,subject_id_lab,vl,date,preparatory_coged_complete,age,gender,edu,state,general_questions_complete,inclusion,inclusion_0___1,inclusion_0___2,inclusion_0_2,researcher_questions_complete,nasa_tlx_1,nasa_tlx_2,nasa_tlx_3,nasa_tlx_4,nasa_tlx_5,nasa_tlx_6,avers,nasatlx_aversion_complete,nasa_tlx_1b,nasa_tlx_2b,nasa_tlx_3b,nasa_tlx_4b,nasa_tlx_5b,nasa_tlx_6b,aversb,nasatlx_aversion2_complete,nasa_tlx_1c,nasa_tlx_2c,nasa_tlx_3c,nasa_tlx_4c,nasa_tlx_5c,nasa_tlx_6c,aversc,nasatlx_aversion3_complete,nasa_tlx_1d,nasa_tlx_2d,nasa_tlx_3d,nasa_tlx_4d,nasa_tlx_5d,nasa_tlx_6d,aversd,nasatlx_aversion4_complete,followup_adherence,followup_motivation,followup_motivation_other,followup_coged_complete,t1_psychopy_ed_csv,t1_psychopy_nback_csv,t1_psychopy_randch_log,t1_session_notes,files_coged_complete,record_id_2,vl_er,date_er,preparatory_ered_complete,emg_eeg,emg_vhdr,emg_vmrk,er_psychopy_csv,ed_psychopy_csv,t2_session_notes,files_ered_complete,nachb_01,nachb_01_inhalt,nachb_02,nachb_02_inhalt,nachb_03,nachb_07,nachb_07_inhalt,nachb_08,nachb_08_inhalt,nachb_08_haeufig,nachb_08_zurueck,followup_ered_complete
49_final,l2_ered_arm_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H25N04,CS,27.10.2022,2,H25N04.eeg,H25N04.vhdr,H25N04.vmrk,H25N04_t2_ER.csv,H25N04_t2_ED.csv,Super sensitive skin,,,,,,,,,,,,,
50_final,t1_questionnaires_arm_1,1,L29R12,2,3,3,1,-3,2,-3,-3,-1,-2,-1,-3,-3,1,3,-1,-3,2,4,3,2,2,3,4,3,2,2,3,2,3,3,3,3,3,3,1,2,3,3,1,2,1,2,3,2,2,3,3,2,4,4,5,4,2,4,3,4,5,4,5,3,2,2,3,3,3,3,2,2,3,3,3,4,2,5,1,5,1,4,1,4,4,5,5,2,4,3,4,3,5,2,6,5,5,6,7,7,7,7,7,3,2,4,2,2,1,3,4,2,4,3,4,1,3,4,2,4,1,4,2,4,1,2,2,3,2,1,2,2,3,2,2,1,2,1,4,3,4,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50_final,l1_coged_arm_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L29R12,JK,21.10.2022,2,21,2,3,0,2,1,0,0,,2,4,1,8,8,2,2,9,2,10,1,5,11,5,3,5,2,10,1,6,11,3,5,5,2,10,1,8,10,6,5,2,2,1,5,I think I might have misunderstood the instruction. They way I saw it,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50_final,l2_ered_arm_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L29R12,JK,28.10.2022,2,L29R12.eeg,L29R12.vhdr,L29R12.vmrk,L29R12_t2_ER.csv,L29R12_t2_ED.csv,Instructor had typo in PsychoPy,,,,,,,,,,,,,
51_final,t1_questionnaires_arm_1,1,D30N04,2,-1,1,1,-2,2,1,-1,-2,-2,1,-1,-2,-1,1,1,2,2,2,2,1,1,2,2,2,3,2,3,2,3,3,2,3,1,2,2,3,3,1,2,1,2,1,3,2,3,2,2,2,4,4,3,2,4,3,5,4,2,4,3,4,4,2,3,2,2,3,4,2,3,2,3,2,2,3,5,3,1,3,5,3,2,5,2,2,2,3,3,2,4,2,4,3,2,5,6,5,4,2,5,6,2,2,2,3,2,3,2,3,3,1,2,3,1,3,3,1,2,3,2,3,3,2,3,4,2,3,2,2,2,2,1,1,2,2,4,5,4,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51_final,l1_coged_arm_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D30N04,CS,02.11.2022,2,22,2,3,0,2,1,0,0,,2,4,2,14,8,5,5,8,2,6,2,6,12,10,6,5,2,15,2,11,5,15,12,10,2,18,2,8,3,16,17,15,2,1,4,,2,D30N04_t1_ED.csv,D30N04_t1_nback.csv,D30N04_t1_randomchoice.csv,,2,,,,,,,,,,,,,,,,,,,,,,,
51_final,l2_ered_arm_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D30N04,CS,09.11.2022,2,D30N04.eeg,D30N04.vhdr,D30N04.vmrk,D30N04_t2_ER.csv,D30N04_t2_ED.csv,,2,0,,1,,Because I found it most effective and most exciting.,0,,0,,,,2
52_final,t1_questionnaires_arm_1,1,S28E04,2,1,0,0,-1,2,-2,0,1,-1,1,0,-3,-1,0,-1,1,2,2,3,3,1,3,3,3,2,1,1,1,2,2,2,2,2,3,3,3,2,1,2,2,2,2,3,1,2,2,3,2,2,3,3,4,3,4,5,3,2,4,3,4,3,2,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53_final,t1_questionnaires_arm_1,1,T18R03,2,2,1,-1,-2,2,-1,-2,-2,-2,-2,-3,-3,-1,-3,-2,-2,2,3,2,3,2,1,3,2,2,4,3,1,3,2,2,4,1,2,1,2,3,3,2,1,2,1,3,2,1,3,4,2,4,3,4,2,4,2,2,3,4,2,4,3,2,2,3,3,3,2,3,3,3,3,2,3,2,6,2,2,1,3,3,6,3,5,5,2,4,3,3,4,4,2,6,6,4,6,7,7,5,2,4,5,2,2,1,2,3,2,3,2,3,1,3,1,1,3,3,2,1,3,2,3,2,2,3,3,4,2,2,2,2,4,4,2,2,3,5,1,5,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53_final,l1_coged_arm_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T18R03,MH,03.11.2022,2,21,2,3,0,2,1,0,0,,2,6,2,5,15,6,2,4,2,10,2,10,7,9,8,7,2,9,2,8,6,5,8,12,2,6,2,9,4,5,9,17,2,1,3,,2,T18R03_t1_ED.csv,T18R03_t1_nback.csv,T18R03_t1_randomchoice.csv,,2,,,,,,,,,,,,,,,,,,,,,,,
53_final,l2_ered_arm_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T18R03,CS,10.11.2022,2,T18R03.eeg,T18R03.vhdr,T18R03.vmrk,T18R03_t2_ER.csv,T18R03_t2_ED.csv,,2,0,,1,,Because this strategy helped me distance myself from the negative emotion best.,0,,0,,,,2
54_final,t1_questionnaires_arm_1,1,M22N07,2,-1,1,-2,-2,2,2,-2,-2,-2,-1,-2,-2,-2,-1,-2,-3,2,4,1,2,1,1,3,4,2,2,3,2,4,3,1,2,1,1,2,1,3,1,1,2,1,1,3,2,1,4,2,2,4,4,3,4,2,4,5,1,4,2,4,2,1,2,3,2,3,4,2,3,2,3,2,3,2,5,3,2,3,6,5,2,5,6,5,2,4,3,2,3,3,2,1,2,4,2,6,5,2,2,3,5,2,4,2,3,1,2,4,3,2,3,2,3,1,3,1,4,2,2,2,2,3,2,3,2,3,3,2,3,2,3,3,2,2,2,5,2,5,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54_final,l1_coged_arm_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M22N07,CS,02.11.2022,2,22,2,3,0,2,1,0,0,,2,13,4,6,17,8,5,8,2,15,5,8,15,12,8,9,2,18,4,18,11,17,14,16,2,19,4,17,7,19,15,17,2,1,3,,2,M22N07_t1_ED.csv,M22N07_t1_nback.csv,M22N07_t1_randomchoice.csv,,2,,,,,,,,,,,,,,,,,,,,,,,
54_final,l2_ered_arm_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M22N07,JZ,09.11.2022,2,M22N07.eeg,M22N07.vhdr,M22N07.vmrk,M22N07_t2_ER.csv,M22N07_t2_ED.csv,,2,0,,1,,Was easiest to implement.,0,,0,,,,2
55_final,t1_questionnaires_arm_1,1,H26R07,2,2,1,-1,1,1,0,-1,1,-1,-1,-1,-1,-1,-2,-1,-1,2,2,2,2,4,2,1,3,3,3,3,1,3,2,1,2,2,2,2,3,2,2,1,2,2,1,3,2,1,1,3,2,2,4,4,1,4,4,5,4,3,3,4,2,2,2,3,3,4,4,2,2,1,2,1,3,2,5,2,6,1,6,3,4,6,5,6,2,3,4,2,2,3,2,7,6,5,6,5,6,5,4,5,5,2,3,3,1,2,3,2,3,2,2,2,1,2,4,2,2,1,2,3,3,1,2,1,2,2,2,1,3,3,2,1,1,2,4,3,4,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56_final,t1_questionnaires_arm_1,1,H17N05,2,2,3,1,-3,3,0,-1,-1,0,-1,-2,-2,1,0,-2,-2,2,2,1,1,1,1,4,3,3,2,3,1,4,4,1,3,2,2,1,2,3,1,2,2,1,2,4,2,2,3,4,2,3,4,3,2,3,4,5,2,3,4,5,3,1,2,3,3,2,3,4,2,3,3,3,2,2,5,2,6,2,4,2,3,5,5,5,2,4,3,4,1,5,2,6,5,6,2,5,6,1,2,3,6,2,2,2,2,3,1,3,3,4,4,2,3,2,3,2,4,3,3,1,3,2,2,2,2,2,2,2,2,3,2,1,2,2,3,4,1,5,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56_final,l1_coged_arm_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H17N05,CS,03.11.2022,2,19,2,3,0,2,1,0,0,,2,12,8,10,16,7,10,3,2,15,11,14,10,9,5,2,2,20,16,14,4,16,13,7,2,19,3,3,14,10,1,1,2,1,2,,2,H17N05_t1_ED.csv,H17N05_t1_nback.csv,H17N05_t1_randomchoice.csv,Filled out NASA TLX for 1-back after the first 2-back round because they forgot to do so in the break after 1-back,2,,,,,,,,,,,,,,,,,,,,,,,
56_final,l2_ered_arm_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H17N05,CS,10.11.2022,2,H17N05.eeg,H17N05.vhdr,H17N05.vmrk,H17N05_t2_ER.csv,H17N05_t2_ED.csv,,2,1,I was less emotionally aroused during all four strategies than I had expected.,1,,I chose distancing because it was most effective for me. And I feel like when looking at pictures I already have a degree of distance automatically,,,,,,,
57_final,t1_questionnaires_arm_1,1,H17N05,2,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58_final,t1_questionnaires_arm_1,1,L02S07,2,2,2,1,-1,3,2,-1,-1,-1,-1,-2,-2,2,1,-3,-2,2,3,2,3,2,2,2,3,2,2,1,3,3,4,1,3,2,3,1,3,3,1,2,3,2,1,4,4,2,4,3,2,4,3,4,2,4,3,4,4,3,4,5,4,3,2,3,3,3,2,3,2,3,3,2,4,2,3,1,5,2,5,1,6,5,5,6,2,4,4,2,1,3,2,6,5,5,6,5,6,5,5,5,5,2,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59_final,t1_questionnaires_arm_1,1,W16C01,2,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60_final,t1_questionnaires_arm_1,1,P30C05,2,2,3,1,-3,3,-1,-1,-2,-3,-2,-1,-2,-2,-1,-3,-3,2,4,1,3,2,1,3,4,3,3,4,1,4,2,2,3,2,2,1,3,3,1,2,2,2,1,2,2,2,2,4,2,4,3,5,3,2,4,2,5,5,2,4,3,2,2,3,3,3,3,2,3,2,2,2,3,2,6,3,7,2,4,3,6,6,2,7,2,4,3,2,3,3,2,5,6,3,6,5,6,5,5,5,5,2,4,2,1,1,2,4,2,2,2,2,3,3,3,1,4,2,2,2,2,2,2,2,3,2,2,2,2,3,2,2,2,2,4,2,2,5,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60_final,l1_coged_arm_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P30C05,CS,03.11.2022,2,19,2,3,0,2,1,0,0,,2,3,3,1,13,5,3,10,2,16,14,18,12,17,16,18,2,18,16,15,7,14,7,14,2,19,18,14,4,14,17,15,2,1,3,,2,P30C05_t1_ED.csv,P30C05_t1_nback.csv,P30C05_t1_randomchoice.csv,,2,,,,,,,,,,,,,,,,,,,,,,,
60_final,l2_ered_arm_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P30C05,CS,10.11.2022,2,P30C05.eeg,P30C05.vhdr,P30C05.vmrk,P30C05_t2_ER.csv,P30C05_t2_ED.csv,,2,0,,1,,Felt best for me.,0,,0,,,,2
61_final,t1_questionnaires_arm_1,1,B09N05,2,1,0,1,-2,2,-1,-2,-1,-1,-2,-1,0,-3,-2,-3,-2,2,3,2,1,2,1,3,4,3,2,3,1,4,4,2,2,1,1,1,2,3,1,1,2,1,1,2,2,2,2,3,2,3,4,5,2,3,4,2,5,5,3,5,4,1,2,3,3,3,4,2,2,3,3,2,4,2,2,3,2,1,3,2,2,2,1,2,2,4,3,4,1,2,2,6,4,2,3,5,6,4,2,3,3,2,3,2,2,2,1,4,3,2,1,2,1,3,3,1,2,1,3,2,2,2,2,3,3,4,4,4,3,1,3,3,3,2,5,3,2,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61_final,l1_coged_arm_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B09N05,CS,10.11.2022,2,26,2,3,0,2,1,0,0,,2,7,1,2,17,7,2,4,2,16,16,10,6,16,15,2,2,19,16,14,5,17,16,15,2,20,18,18,2,18,16,17,2,1,2,,2,B09N05_t1_ED.csv,B09N05_t1_nback.csv,B09N05_t1_randomchoice.csv,,2,,,,,,,,,,,,,,,,,,,,,,,
61_final,l2_ered_arm_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B09N05,CS,17.11.2022,2,B09N05.eeg,B09N05.vhdr,B09N05.vmrk,B09N05_t2_ER.csv,B09N05_t2_ED.csv,,2,0,,1,,Was easiest for me.,0,,0,,,,2
62_final,t1_questionnaires_arm_1,1,D21B10,2,2,1,0,0,1,0,0,0,1,1,-1,0,-1,-1,-1,-2,2,3,2,1,2,1,2,2,3,2,3,3,3,3,2,3,2,1,2,1,2,1,2,3,1,2,3,2,2,3,3,2,4,4,3,3,4,3,4,3,3,3,4,4,3,2,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63_final,t1_questionnaires_arm_1,1,B02R06,2,2,0,1,-1,3,-1,-1,-1,-2,-2,-2,-2,0,-1,-3,0,2,4,1,2,2,1,1,4,4,2,3,2,3,3,1,3,2,1,2,1,2,1,1,2,3,1,3,1,2,3,4,2,5,2,4,2,1,5,3,4,4,2,4,2,1,2,3,3,4,4,1,3,2,3,1,3,2,5,6,6,2,7,3,6,4,6,6,2,4,4,4,2,4,2,6,5,6,5,6,5,5,1,5,6,2,3,1,2,3,2,4,1,1,2,3,1,1,3,2,2,2,4,4,3,1,2,1,2,2,2,2,2,3,3,3,2,2,5,2,4,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63_final,l1_coged_arm_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B02R06,JK,04.11.2022,2,23,2,3,0,2,1,0,0,,2,9,2,4,14,14,5,2,2,13,1,5,11,12,4,4,2,16,2,6,5,17,16,12,2,19,2,7,4,19,14,15,2,1,5,I wanted to maximize the reward. But when two levels have about the same reward (less than 20 cents difference),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63_final,l2_ered_arm_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B02R06,JK,11.11.2022,2,B02R06.eeg,B02R06.vhdr,B02R06.vmrk,B02R06_t2_ER.csv,B02R06_t2_ED.csv,,2,0,,1,,Was most effective in lowering the emotional intensity.,0,,0,,,,2
64_final,t1_questionnaires_arm_1,1,M11I06,2,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65_final,t1_questionnaires_arm_1,1,S19R04,2,2,-2,-2,-2,2,0,-1,1,-2,-2,-2,-2,0,-1,-1,-1,2,4,3,2,3,1,2,4,4,3,3,1,3,3,2,2,1,1,1,2,3,1,1,1,1,1,2,2,1,3,4,2,5,2,4,2,1,4,3,2,3,3,4,2,2,2,4,3,3,3,2,3,2,2,2,3,2,5,2,5,1,5,4,6,6,4,6,2,4,4,3,3,5,2,6,5,3,5,6,7,5,4,6,6,2,2,2,1,3,2,3,2,2,3,3,1,2,3,2,2,2,3,3,3,1,2,2,3,2,1,2,2,3,2,2,1,2,3,4,3,5,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65_final,l1_coged_arm_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S19R04,MH,02.11.2022,2,20,2,3,0,2,1,0,0,,2,13,2,13,17,4,1,13,2,18,5,16,19,17,7,17,2,19,3,18,15,19,12,19,2,19,3,16,12,17,17,20,2,1,3,,2,S19R04_t1_ED_1.csv,S19R04_t1_nback_1.csv,S19R04_t1_randomchoice_1.csv,,2,,,,,,,,,,,,,,,,,,,,,,,
65_final,l2_ered_arm_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S19R04,MH,09.11.2022,2,S19R04.eeg,S19R04.vhdr,S19R04.vmrk,S19R04_t2_ER.csv,S19R04_t2_ED.csv,,2,1,I suspect that even during viewing I suppressed a little bit.,1,,I felt like it was easiest for me.,0,,0,,,,2
66_final,t1_questionnaires_arm_1,1,D02R08,2,2,-1,-1,0,2,-2,0,1,-1,0,1,0,-1,-1,0,1,2,3,1,1,1,1,4,2,4,3,3,1,3,3,1,2,2,1,2,1,2,2,2,1,1,1,3,2,2,1,3,2,2,5,4,2,4,3,4,4,4,2,4,5,1,2,3,3,4,4,2,3,3,3,2,2,2,6,3,6,1,5,2,6,5,4,6,2,3,2,3,2,2,2,6,5,2,5,6,5,5,4,4,6,2,1,2,2,4,2,1,2,1,1,3,1,1,3,3,2,2,3,2,3,2,2,4,2,3,2,3,2,3,2,2,2,2,6,5,5,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
